Rk,Name,Age,Tm,Lev,Aff,W,L,W-L%,ERA,RA9,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W
22,Kramer Champlin,27,TCY,Ind,,7,9,0.438,4.44,5.05,18,18,0,2,0,0,103.1,138,58,51,7,22,0,69,3,0,3,464,1.548,12.0,0.6,1.9,6.0,3.14
23,Braulio Torres-Perez*,24,FLR,Ind,,6,2,0.75,2.82,3.26,10,9,0,1,1,0,60.2,56,22,19,3,25,0,52,6,2,5,260,1.335,8.3,0.4,3.7,7.7,2.08
24,Marty Anderson*,24,FLR,Ind,,6,2,0.75,2.96,3.7,10,8,0,1,0,0,48.2,39,20,16,2,22,1,44,7,0,3,212,1.253,7.2,0.4,4.1,8.1,2.0
25,Tyler Stubblefield*,23,SOI,Ind,,6,2,0.75,3.07,3.88,12,12,0,1,1,0,67.1,56,29,23,4,23,0,55,1,0,1,285,1.173,7.5,0.5,3.1,7.4,2.39
26,Josh Glick,23,WCT,Ind,,6,2,0.75,3.51,4.59,34,0,11,0,0,0,33.1,24,17,13,1,14,1,30,4,0,1,133,1.14,6.5,0.3,3.8,8.1,2.14
27,Skylar Janisse,23,JOL,Ind,,6,3,0.667,3.61,4.62,21,6,5,1,0,1,62.1,63,32,25,6,24,1,54,3,1,4,277,1.396,9.1,0.9,3.5,7.8,2.25
28,Dan Ludwig*,24,RIV,Ind,,6,4,0.6,3.92,4.51,19,18,0,1,1,0,105.2,119,53,46,10,22,0,76,3,3,4,450,1.334,10.1,0.9,1.9,6.5,3.45
29,Zach Cooper,27,SOI,Ind,,6,10,0.375,4.44,5.3,19,19,0,1,0,0,105.1,98,62,52,6,42,0,94,13,0,5,463,1.329,8.4,0.5,3.6,8.0,2.24
30,Will Landsheft,24,GATWCT,Ind,,6,10,0.375,4.69,5.17,20,19,0,1,0,0,111.1,105,64,58,12,58,3,85,6,1,4,491,1.464,8.5,1.0,4.7,6.9,1.47
31,Payton Lobdell,23,LECSOI,Ind,,6,8,0.429,5.78,6.48,16,16,0,0,0,0,90.1,99,65,58,9,27,0,48,5,0,3,393,1.395,9.9,0.9,2.7,4.8,1.78
32,Augie Gallardo,23,TCY,Ind,,6,7,0.462,6.42,8.3,26,14,4,0,0,1,81.1,101,75,58,9,35,0,62,8,1,0,384,1.672,11.2,1.0,3.9,6.9,1.77
33,Gunnar Kines*,23,SCH,Ind,,5,1,0.833,1.31,1.31,7,7,0,1,0,0,41.1,30,6,6,2,13,0,53,1,0,0,164,1.04,6.5,0.4,2.8,11.5,4.08
34,Brady Muller*,24,WCT,Ind,,5,1,0.833,1.36,1.94,7,7,0,0,0,0,46.1,34,10,7,0,9,0,41,1,1,0,179,0.928,6.6,0.0,1.7,8.0,4.56
35,Kit Fowler,23,SCH,Ind,,5,2,0.714,1.85,2.4,12,6,2,0,0,1,48.2,33,13,10,1,18,0,51,1,0,3,194,1.048,6.1,0.2,3.3,9.4,2.83
36,Zach Strecker,23,WST,Ind,,5,5,0.5,2.34,3.5,44,0,41,0,0,20,61.2,56,24,16,1,17,0,40,1,0,2,255,1.184,8.2,0.1,2.5,5.8,2.35
37,Justin Sinibaldi,23,LEC,Ind,,5,2,0.714,3.15,3.15,36,0,11,0,0,0,60.0,48,21,21,5,13,4,73,1,0,2,235,1.017,7.2,0.8,2.0,11.0,5.62
