Symbol,Name,Sector,Price,Price/Earnings,Dividend Yield,Earnings/Share,52 Week Low,52 Week High,Market Cap,EBITDA,Price/Sales,Price/Book,SEC Filings
ARE,Alexandria Real Estate Equities,Office REITs,51.14,,0.0563,-6.05,39.41,88.24,8800952320.0,1781940992.0,3.09857,0.56134266,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ARE
ALGN,Align Technology,Health Care Supplies,150.82,26.184029,,5.76,122.0,200.44,10714231808.0,925662016.0,2.5882714,2.538758,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ALGN
ALLE,Allegion,Building Products,153.35,20.124674,0.0143,7.62,125.0,183.11,13040391168.0,1049299968.0,3.0407815,6.156904,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ALLE
LNT,Alliant Energy,Electric Utilities,67.26,21.284811,0.0318,3.16,63.28,78.81,17439490048.0,1828999936.0,3.9375682,2.3162754,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=LNT
ALL,Allstate,Property & Casualty Insurance,253.71,5.081314,0.0172,49.93,188.08,277.22,64152592384.0,17116000256.0,0.9146754,2.0330794,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ALL
GOOGL,Alphabet Inc. (Class A),Interactive Media & Services,338.5,16.975927,0.0026,19.94,235.84,408.61,4139833098240.0,173164003328.0,9.284927,6.6508174,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GOOGL
GOOG,Alphabet Inc. (Class C),Interactive Media & Services,335.45,16.83141,0.0026,19.93,236.685,404.47,4102531842048.0,173164003328.0,9.201266,6.5908914,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GOOG
MO,Altria,Tobacco,68.98,14.522106,0.0645,4.75,54.7,77.06,115178938368.0,15735000064.0,5.633875,-43.16646,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MO
AMZN,Amazon,Broadline Retail,256.78,20.658085,,12.43,196.0,287.2,2769709432832.0,168911994880.0,3.5706854,5.0195484,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMZN
AMCR,Amcor,Paper & Plastic Packaging Products & Materials,42.32,17.781511,0.0614,2.38,36.25,50.94,19566469120.0,3536000000.0,0.8324032,1.6581773,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMCR
AMTM,Amentum,Diversified Support Services,19.46,23.445782,,0.83,19.21,38.11,4758094848.0,1006000000.0,0.33673707,1.012645,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMTM
AEE,Ameren,Multi-Utilities,104.9,18.468311,0.0286,5.68,96.57,118.32,29040859136.0,3910000128.0,3.4527237,2.1214635,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AEE
AEP,American Electric Power,Electric Utilities,123.33,21.37435,0.0308,5.77,105.7,140.58,67140530176.0,9029000192.0,2.9459229,2.0928576,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AEP
AXP,American Express,Consumer Finance,324.69,19.690115,0.0117,16.49,290.97,387.49,219266351104.0,,3.0920475,6.3934236,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AXP
AIG,American International Group,Multi-line Insurance,75.33,13.74635,0.0265,5.48,71.25,87.29,39389544448.0,8145999872.0,1.4731121,0.9734319,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AIG
AMT,American Tower,Telecom Tower REITs,177.85,24.46355,0.0392,7.27,160.06,199.13,82871001088.0,7044400128.0,7.574007,22.278593,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMT
AWK,American Water Works,Water Utilities,137.69,23.863085,0.026,5.77,120.57,145.64,27362996224.0,2912999936.0,5.178463,2.3457358,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AWK
AMP,Ameriprise Financial,Asset Management & Custody Banks,557.61,13.478608,0.0122,41.37,422.37,572.56,49292722176.0,,2.4846373,7.7473807,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMP
AME,Ametek,Electrical Components & Equipment,241.87,35.36111,0.0056,6.84,179.24,261.16,55437328384.0,2500681984.0,7.0495768,4.924264,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AME
AMGN,Amgen,Biotechnology,377.35,23.42334,0.0267,16.11,269.77,447.03,204007489536.0,17268000768.0,5.3552303,17.453747,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMGN
APH,Amphenol,Electronic Components,83.92,41.96,0.006,2.0,58.67,89.26,206943928320.0,9463700480.0,7.1331444,13.354551,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=APH
ADI,Analog Devices,Semiconductors,378.78,45.039238,0.0116,8.41,223.47,445.91,183543709696.0,6922700800.0,13.221949,5.4706163,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADI
ANSS,Ansys,Application Software,,,,,,,,,,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ANSS
AON,Aon,Insurance Brokers,302.69,16.695534,0.0107,18.13,302.44,382.34,64208248832.0,5900000256.0,3.6529696,6.685736,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AON
APA,APA Corporation,Oil & Gas Exploration & Production,44.73,9.436709,0.0224,4.74,21.63,46.1,15671223296.0,5720000000.0,1.8281875,2.2340426,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=APA
AAPL,Apple Inc.,"Technology Hardware, Storage & Peripherals",332.27,38.148106,0.0033,8.71,235.03,344.57,4849207869440.0,167959003136.0,10.38768,45.14538,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AAPL
AMAT,Applied Materials,Semiconductor Materials & Equipment,456.49,39.38654,0.0046,11.59,168.53,739.67,362269278208.0,10154999808.0,11.747877,14.136756,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMAT
APTV,Aptiv,Automotive Parts & Equipment,45.54,20.606335,,2.21,43.83,88.93,9637198848.0,3232999936.0,0.46969482,1.0840793,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=APTV
ACGL,Arch Capital Group,Property & Casualty Insurance,96.09,7.5187793,,12.78,82.45,107.09,32766689280.0,5565000192.0,1.7037588,1.4065107,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ACGL
ADM,Archer Daniels Midland,Agricultural Products & Services,86.72,23.693989,0.0239,3.66,55.58,88.75,41795268608.0,2995000064.0,0.50908375,1.7731613,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADM
ANET,Arista Networks,Communications Equipment,199.59,63.3619,,3.15,114.52,214.89,251727839232.0,4639600128.0,23.881285,17.010994,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ANET
AJG,Arthur J. Gallagher & Co.,Insurance Brokers,240.32,39.85406,0.0117,6.03,190.75,313.55,61603868672.0,4288000000.0,4.0772963,2.5970433,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AJG
AIZ,Assurant,Multi-line Insurance,282.46,13.5148325,0.0125,20.9,205.01,303.94,13931991040.0,1737100032.0,1.0353585,2.2874217,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AIZ
T,AT&T,Integrated Telecommunication Services,26.06,8.60066,0.0434,3.03,19.89,29.79,178573164544.0,44939001856.0,1.4034468,1.6230693,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=T
ATO,Atmos Energy,Gas Utilities,163.19,19.450537,0.0243,8.39,160.1,192.51,27577243648.0,2624299008.0,5.603393,1.8073584,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ATO
ADSK,Autodesk,Application Software,212.4,27.548637,,7.71,185.5,326.71,44391600128.0,2286000128.0,5.6985364,13.12164,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADSK
ADP,Automatic Data Processing,Human Resource & Employment Services,268.26,24.49863,0.0253,10.95,188.16,294.93,106569711616.0,6411200000.0,4.855687,17.694084,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADP
AZO,AutoZone,Automotive Retail,2876.75,19.801418,,145.28,2865.1272,4357.81,46963965952.0,4263984896.0,2.3497958,-16.911018,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AZO
AVB,AvalonBay Communities,Multi-Family Residential REITs,184.06,25.248285,0.000387,7.29,57.320084,185.62,26283393024.0,1857816064.0,8.52383,2.1691887,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AVB
AVY,Avery Dennison,Paper & Plastic Packaging Products & Materials,169.38,18.511477,0.0236,9.15,152.42,199.54,12955941888.0,1496499968.0,1.40093,5.5349326,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AVY
AXON,Axon Enterprise,Aerospace & Defense,479.34,199.72499,,2.4,339.01,792.16,38940344320.0,165106000.0,12.09666,10.59713,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AXON
BKR,Baker Hughes,Oil & Gas Equipment & Services,59.06,18.990355,0.0156,3.11,43.92,70.41,58627330048.0,4839000064.0,2.1146016,2.9438741,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BKR
BALL,Ball Corporation,"Metal, Glass & Plastic Containers",59.9,17.163324,0.0134,3.49,44.83,68.29,15948166144.0,2076000000.0,1.1132324,2.758462,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BALL
BAC,Bank of America,Diversified Banks,62.69,14.47806,0.0204,4.33,46.12,65.23,438375383040.0,,3.8477268,1.5934625,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BAC
